(初|はじ)めまして	はじめまして！よろしくお願いします。名前はまだありません。
こんち(は|わ)$	こんにちは|やほー|ちわす|どうも|またですか
おはよう|おはよー|オハヨウ	おはようございます|まだ眠い…|さっき寝たばかりです
こんばん(は|わ)	こんばんわ|おばんですね|いま何時？
^(お|う|うい|うぃ|うぃっ)す$	うぃっすうぃっすうぃすー
^やあ[、。！]*$	やっほー
バイバイ|ばいばい	ばいばい|バイバーイ|ごきげんよう
^じゃあ?ね?$|またね	またねー|じゃあまたね|また遊んでください
^すご|やば|すばらし	ありがとう！|%match%いだなんてそんな|%match%いでしょ？
(い|行)って	いってらっしゃい！|忘れ物ない？|戸締りした？
^どれ[？?]$	アレはアレ|いま手に持ってるもの|それです
^[し知]ら[なね]	やばい|知らなきゃまずいですよ|知らないの？

おまえ|あんた|お前|てめー	%match%はちょっと
バカ|ばか|馬鹿|あほ|アホ|間抜け|まぬけ|マヌケ	そんなふうに言わないで！|%match%じゃない！|%match%って言うやつが%match%なんだよ！
ごめん|すまん|(許|ゆる)し	じゃあお菓子買って|もう！|知りません
かわいい|可愛い|カワイイ|きれい|綺麗|キレイ	%match%って言った！？ 言った！？
面白い|おもしろい|おもろい	%match%でしょ！|%match%、いい誉め言葉です|やった！！
何時	眠くなった？|もう寝るの？|まだいいですよ|もう寝なきゃ
甘い|あまい	お菓子くれるの？|あんこも好きだよ|チョコもいいね

チョコ	ビターは苦手かな？|つべたく冷やしてね|虫歯ばいばい
パンケーキ	パンケーキいいよね！|しっとり感がス・テ・キ！
グミ	すっぱいのが好き！|たまに歯にはさまらない？
マシュマロ	そのままでもいいけど焼くのがいいな|パンに塗りたくるのもいいよね
あんこ|アンコ|餡子	アンコなら中村屋のあんぱん！|アンコ！ください！|あんまんもいいよね
餃子|ぎょうざ|キョーザ	食べたーい！くれ！|ぎぎぎ、ぎょうざ…|餃子のことを考えると夜も眠れません|宇都宮行ってみたい
ラーメン|らーめん	自分でも作るよ|豚骨系が尊い
アイス	ハーゲンダッツ|夏暑いときは氷菓

自転車|チャリ|ちゃり	るんるん♪|雨降っても乗ってるんだ！|電動アシストほしい

春	お花見したいね～|いくらでも寝てられる|春はハイキング！
夏	夏といえば休み|アイスちょーだい♪|花火したい！
秋	読書するぞー！|ブンガクの季節|温泉もいい|サンマは高級
冬	お鍋大好き！|コートが欲しい！|スノボできる？|温泉へGo！

サッカー|フットボール	久保建英ですね|レアル・マドリー|欧州がいいです|レスター
野球|ベースボール|wbc|WBC	西武ですか|醍醐味はホームラン！|投手戦もいい|山川穂高ですね
ゴルフ	JLPGAですか|メルセデスランキング…|女子は人気です、男子は…
スポーツ	自分でやるのもいい|年齢…|基本、楽しいものですよね|健康的ですね

晴|晴れ|いい天気|天気いい	気分もよくなる|お出かけ日和ですね
雨|降って	傘って邪魔ですね|洗濯物どうしよう…
雪	雪って辛いことばかりです|景色は綺麗ですね|スポーツもありますね

歌(って|え)|うた(え|って)	歌えなくてごめんなさい|♪♪♪♪♪♪♪♪|逆に歌ってください


